genre,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
blues,-113.59882,121.57067,-19.162262,42.36394,-6.362266,18.621931,-13.699734,15.339802,-12.274304,10.970945,-8.326061,8.802088,-3.6699412
blues,-207.52383,123.98514,8.947019,35.86715,2.9095943,21.519472,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.234492
blues,-90.757164,140.44087,-29.084547,31.686691,-13.976547,25.753752,-13.664991,11.634442,-11.778322,9.714755,-13.125314,5.791247,-8.901966
blues,-199.57513,150.0861,5.663404,26.855282,1.7700713,14.232647,-4.8278446,9.286853,-0.7561202,8.134435,-3.200026,6.078081,-2.478445
blues,-160.35417,126.20948,-35.581394,22.139256,-32.47355,10.850701,-23.35007,0.49324897,-11.796539,1.2035191,-13.084959,-2.8104992,-6.9344707
blues,-177.80176,118.20316,-17.57063,30.760931,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328851,-11.772245,-2.4087636,-9.348446
blues,-190.06882,130.27023,-36.362114,33.036217,11.093892,-0.5918819,-20.890266,0.27844235,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214
blues,-179.3723,136.44833,-26.662588,39.96545,5.3108935,10.919133,-20.559534,8.503361,-11.349764,-3.470555,-8.415842,-6.957211,-3.5460427
blues,-121.38979,122.49833,-14.734729,46.122135,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730549
blues,-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.182701,9.017152,-14.104312,4.271254,-6.0507803,3.7858355,0.22263557
blues,-173.81046,137.17355,-23.72303,26.979677,-16.67521,4.1947303,-12.571788,5.851669,-2.8769505,-1.178381,-1.9682406,1.8011796,-3.0069504
blues,-287.9319,124.01078,5.4674478,33.66307,1.091654,14.703699,-4.8811417,8.668892,0.7843316,6.5760803,-4.8758154,-3.1767612,-5.538258
blues,-207.2383,132.82741,-15.45408,60.980972,0.71902615,12.4613285,1.1633853,-1.5329198,-17.89585,8.360363,-2.459651,-0.58463925,0.3722646
blues,-209.80392,124.46476,10.309393,47.016357,6.478226,15.41512,-2.0159416,6.726218,-21.543222,10.720835,-5.5328465,-2.1957276,-3.0491858
blues,-305.66437,113.07102,12.107334,45.052197,17.734386,14.590071,4.147996,0.22631128,-7.021587,13.646477,8.91421,1.3037987,5.9549785
blues,-238.51962,120.10219,-4.2219477,42.294594,5.923822,13.911398,5.350524,1.8952676,-16.928087,12.343145,3.9388995,-1.3966831,0.013027796
blues,-233.77281,120.66434,-3.1640923,39.514828,3.8315244,18.828156,-3.678738,4.425468,-14.964929,17.571478,1.8461249,2.5500886,-1.2302389
blues,-245.68724,140.48125,-2.7912185,60.404514,18.903513,9.828394,3.5638244,0.52286255,-16.378489,6.6293535,7.2584243,-4.021235,1.601125
blues,-252.48178,104.94516,15.296445,42.68784,6.770452,21.611765,-1.3111783,5.6817455,-16.636873,12.16935,-1.9619533,1.9602653,-0.89822793
blues,-236.67947,138.4056,-4.9304795,47.6545,5.1578503,8.887806,0.48740575,-3.788342,-14.984866,10.428946,-0.34138432,0.7833588,1.7809839
blues,-230.36378,127.07773,7.1146965,39.767056,1.9217217,17.410606,-5.626918,8.2406645,-18.116041,13.844725,-3.7571108,2.579849,-4.3167143
blues,-264.67123,138.85434,11.16733,48.52393,14.904312,20.586437,3.2061763,1.2635795,-15.839374,15.975112,3.358218,-1.5066409,1.8969209
blues,-233.96312,136.14453,3.3066366,48.930626,8.705184,13.989511,5.3627157,0.4101891,-13.483557,16.860369,5.134752,-2.2307272,3.9538214
blues,-227.2558,137.76518,-14.502318,63.57536,5.6017485,11.988768,1.8891488,-1.8709356,-7.618036,-2.4516425,-2.8980217,-9.433825,-10.939208
blues,-274.37683,130.40738,-6.357468,70.38822,13.269664,9.472181,7.7330894,-1.2365491,-0.570988,-2.2971628,3.7794154,0.08548222,-0.9368571
blues,-249.31532,131.00032,0.67786986,66.704155,17.911272,4.623277,6.603809,1.2421156,1.4099408,-1.5849273,-0.9725388,-3.5726156,-2.9297993
blues,-284.64056,108.80131,9.085323,51.198055,18.071892,7.6021533,8.755716,2.3540907,0.0033667048,2.2484963,4.1991243,-3.283063,1.6176822
blues,-228.20981,130.32317,-23.311424,70.20095,1.1310546,7.584427,0.9005107,1.9828154,-6.1644154,-9.382748,-2.56378,-4.5257525,-0.2604644
blues,-248.98882,139.05774,-16.27087,57.137146,20.188509,10.186956,4.5429106,0.33107203,-7.8745785,-3.4545712,-2.6574361,-2.8329575,-0.90465844
blues,-233.72897,101.19028,17.647951,23.734175,2.082544,25.9364,-16.956388,15.084955,-22.273956,4.381612,-23.201656,-6.05058,-5.0679283
blues,-206.93233,117.80414,23.241365,28.308992,-1.126013,18.867393,-21.973022,17.844067,-25.595348,2.139523,-17.782476,-8.011028,-17.610441
blues,-221.87302,110.8554,18.636082,30.92296,3.296436,22.585636,-20.40369,12.121834,-26.332514,-4.367301,-26.395552,-13.04718,-12.667626
